datetime,generation_biomass,generation_fossil_brown_coal/lignite,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_hydro_pumped_storage_consumption,generation_hydro_run-of-river_and_poundage,generation_hydro_water_reservoir,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_onshore,total_load_actual,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,clouds_all,is_rain
2015-01-01,10284.0,6178.0,102162.0,101917.0,3845.0,25690.0,25149.0,52005.0,170328.0,1014.0,1775.0,27443.0,4852.0,89002.0,573522.0,276.9288453125,276.9288453125,276.9288453125,1021.9916666666667,75.39166666666667,1.95,181.6,0.0,0.7666666666666667,0.0
2015-01-02,9247.0,0.0,84976.0,29688.0,4767.0,37048.0,31045.0,89159.0,170540.0,1062.0,1473.0,30053.0,4446.0,269409.0,654031.0,277.89758515625,277.89758515625,277.89758515625,1024.4416666666666,77.83333333333333,1.575,214.40833333333333,0.0,5.975,0.0
2015-01-03,10572.0,0.0,82663.0,32262.0,5438.0,32123.0,32994.0,95266.0,170289.0,1873.0,1598.0,26871.0,4895.0,220018.0,602656.0,278.8178640625,278.8178640625,278.8178640625,1020.7416666666667,78.59166666666667,1.575,191.03333333333333,0.0,2.283333333333333,0.0
2015-01-04,9531.0,0.0,83270.0,53879.0,8530.0,14160.0,35886.0,77792.0,170007.0,2009.0,1379.0,57660.0,3823.0,193576.0,650703.0,279.63003072916666,279.63003072916666,279.63003072916666,1015.8583333333333,76.76666666666667,1.2583333333333333,156.40833333333333,0.042499999999999996,11.433333333333334,0.14166666666666666
2015-01-05,6133.0,430.0,78256.0,44880.0,5482.0,19747.0,19814.0,43206.0,66847.0,680.0,1249.0,18461.0,2576.0,124571.0,406070.0,279.03291979166664,279.03291979166664,279.03291979166664,1014.5083333333333,81.15833333333333,1.15,174.3,0.0125,17.816666666666666,0.041666666666666664
2015-01-06,12889.0,22086.0,107998.0,158312.0,7845.0,5353.0,19656.0,73820.0,116324.0,2063.0,1585.0,54315.0,5589.0,60726.0,667264.0,278.3519124483471,278.3519124483471,278.3519124483471,1008.7685950413223,83.89256198347107,1.0826446280991735,170.32231404958677,0.0,37.52892561983471,0.0
2015-01-07,11883.0,22173.0,129222.0,190181.0,8857.0,3263.0,17422.0,49728.0,143648.0,2081.0,1275.0,55267.0,5228.0,138788.0,770520.0,278.61326171875004,278.61326171875004,278.61326171875004,1018.9583333333334,81.95,1.3666666666666667,199.80833333333334,0.055,23.325,0.18333333333333332
2015-01-08,12441.0,13115.0,106659.0,165167.0,7598.0,9705.0,15953.0,36855.0,161795.0,2020.0,1616.0,55232.0,5661.0,86760.0,631500.0,279.0278786458333,279.0278786458333,279.0278786458333,1024.6083333333333,78.33333333333333,1.7416666666666667,185.64166666666668,0.0,9.375,0.0
2015-01-09,11589.0,21008.0,137818.0,180334.0,8345.0,3920.0,14616.0,48603.0,164598.0,2007.0,1650.0,39061.0,5985.0,103102.0,732264.0,280.11501562499996,280.11501562499996,280.11501562499996,1030.9416666666666,72.675,1.7166666666666666,160.23333333333332,0.0,3.966666666666667,0.0
2015-01-10,13429.0,20851.0,129963.0,173629.0,9939.0,4128.0,11487.0,60783.0,144045.0,2081.0,1709.0,43800.0,5951.0,54124.0,671778.0,281.5642625,281.5642625,281.5642625,1024.0166666666667,69.48333333333333,2.2916666666666665,207.10833333333332,0.0,0.25,0.0
